Time,Elgeseter,Innherredsveien,Jernbanebrua,Strindheim,Bakkekirke,Moholtlia,Grillstadtunnelen,Oslovegen
2019-01-01 00:00:00,725,283,132,292,525,454,292,387
2019-01-01 01:00:00,534,284,97,259,395,607,432,388
2019-01-01 02:00:00,500,330,78,232,365,489,328,276
2019-01-01 03:00:00,425,223,64,182,261,289,182,223
2019-01-01 04:00:00,270,203,37,95,233,218,137,147
2019-01-01 05:00:00,190,175,32,53,244,187,109,81
2019-01-01 06:00:00,233,108,25,51,137,149,128,70
2019-01-01 07:00:00,326,84,47,42,85,219,129,78
2019-01-01 08:00:00,151,53,35,31,66,140,106,44
2019-01-01 09:00:00,157,73,49,45,72,144,129,61
2019-01-01 10:00:00,201,84,68,65,93,233,259,87
2019-01-01 11:00:00,301,104,81,108,138,353,310,183
2019-01-01 12:00:00,481,148,162,206,161,641,589,324
2019-01-01 13:00:00,511,205,142,244,229,968,829,383
2019-01-01 14:00:00,899,303,175,335,319,1380,1222,596
2019-01-01 15:00:00,896,313,256,448,376,1690,1317,681
2019-01-01 16:00:00,703,316,210,389,335,1437,1282,634
2019-01-01 17:00:00,688,336,173,363,367,1418,1278,553
2019-01-01 18:00:00,588,331,172,341,332,1174,1176,561
2019-01-01 19:00:00,563,270,136,277,346,968,916,441
2019-01-01 20:00:00,538,257,153,272,305,806,684,365
2019-01-01 21:00:00,565,238,196,179,232,653,589,271
2019-01-01 22:00:00,420,190,179,157,188,442,354,216
2019-01-01 23:00:00,270,128,121,103,175,251,285,122
2019-01-02 00:00:00,106,80,44,33,84,137,139,58
2019-01-02 01:00:00,51,35,16,20,55,92,63,38
2019-01-02 02:00:00,40,22,14,12,41,62,49,30
2019-01-02 03:00:00,41,23,18,18,25,71,62,45
2019-01-02 04:00:00,71,28,24,37,43,161,159,73
2019-01-02 05:00:00,154,72,54,71,34,465,435,123
2019-01-02 06:00:00,716,156,147,321,156,1812,1695,680
2019-01-02 07:00:00,1641,394,358,676,448,3633,2773,1117
2019-01-02 08:00:00,1510,411,385,635,532,2806,1898,848
2019-01-02 09:00:00,1322,329,334,468,390,1582,1076,608
2019-01-02 10:00:00,1315,322,304,476,399,1561,1034,557
2019-01-02 11:00:00,1369,376,323,494,435,1596,1007,632
2019-01-02 12:00:00,1442,375,343,564,495,1956,1034,664
2019-01-02 13:00:00,1435,412,375,604,520,2105,1140,712
2019-01-02 14:00:00,1681,492,442,755,567,2613,1392,895
2019-01-02 15:00:00,2001,560,580,1431,700,4043,2333,1225
2019-01-02 16:00:00,1513,571,493,1422,745,3226,1902,974
2019-01-02 17:00:00,1012,405,316,650,461,1983,1341,646
2019-01-02 18:00:00,849,392,240,533,411,1597,1096,629
2019-01-02 19:00:00,781,350,197,429,357,1474,978,541
2019-01-02 20:00:00,709,349,259,402,361,1058,813,467
2019-01-02 21:00:00,644,219,146,236,304,819,565,398
2019-01-02 22:00:00,438,144,187,202,183,700,392,256
2019-01-02 23:00:00,273,149,116,150,196,382,259,155
2019-01-03 00:00:00,94,71,43,52,90,177,131,52
2019-01-03 01:00:00,60,26,13,29,44,85,39,34
2019-01-03 02:00:00,41,24,17,16,35,76,50,28
2019-01-03 03:00:00,41,26,12,15,22,70,55,39
2019-01-03 04:00:00,66,18,19,34,34,131,110,52
2019-01-03 05:00:00,160,49,42,75,51,438,395,128
2019-01-03 06:00:00,748,167,139,322,176,1945,1449,741
2019-01-03 07:00:00,1798,356,420,716,442,4392,2551,1119
2019-01-03 08:00:00,1651,473,422,685,611,3474,1935,951
2019-01-03 09:00:00,1469,315,295,552,454,1863,1054,613
2019-01-03 10:00:00,1540,358,302,567,468,1670,993,627
2019-01-03 11:00:00,1590,409,328,566,521,1858,996,695
2019-01-03 12:00:00,1676,449,358,645,600,2165,1056,738
2019-01-03 13:00:00,1644,421,336,673,552,2381,1126,759
2019-01-03 14:00:00,1766,474,449,871,572,2647,1435,984
2019-01-03 15:00:00,2069,634,539,1461,779,3727,2343,1271
2019-01-03 16:00:00,1563,575,456,1308,723,3108,1849,986
2019-01-03 17:00:00,1207,415,304,687,521,1862,1379,757
2019-01-03 18:00:00,1003,373,218,551,499,1563,1136,613
2019-01-03 19:00:00,775,394,231,472,399,1403,1039,532
2019-01-03 20:00:00,781,353,234,443,377,1119,748,519
2019-01-03 21:00:00,650,251,136,299,268,750,564,349
2019-01-03 22:00:00,466,195,186,193,203,546,425,237
2019-01-03 23:00:00,360,168,143,164,198,340,288,126
2019-01-04 00:00:00,131,84,59,42,121,140,133,52
2019-01-04 01:00:00,66,29,40,32,62,91,64,30
2019-01-04 02:00:00,57,45,25,15,70,68,27,17
2019-01-04 03:00:00,64,29,26,20,48,87,64,25
2019-01-04 04:00:00,59,24,25,28,33,129,105,55
2019-01-04 05:00:00,144,41,42,73,46,432,300,110
2019-01-04 06:00:00,756,163,157,319,191,1925,1408,700
2019-01-04 07:00:00,1744,374,352,711,494,3717,2423,1133
2019-01-04 08:00:00,1722,467,443,683,697,2913,1803,964
2019-01-04 09:00:00,1450,329,343,507,456,1833,1103,677
2019-01-04 10:00:00,1490,351,325,532,484,1918,1011,702
2019-01-04 11:00:00,1577,398,371,650,571,1980,1063,757
2019-01-04 12:00:00,1761,463,453,756,634,2220,1167,772
2019-01-04 13:00:00,1692,451,415,793,620,2385,1268,806
2019-01-04 14:00:00,1928,540,482,1014,692,3114,1743,1082
2019-01-04 15:00:00,2143,666,633,1558,804,4070,2385,1301
2019-01-04 16:00:00,1593,622,520,1338,788,3241,1962,1052
2019-01-04 17:00:00,1134,494,338,654,536,1995,1428,698
2019-01-04 18:00:00,939,437,264,570,533,1479,1055,609
2019-01-04 19:00:00,707,366,191,373,359,1097,854,476
2019-01-04 20:00:00,708,308,187,321,351,884,610,393
2019-01-04 21:00:00,629,248,180,255,284,664,477,292
2019-01-04 22:00:00,514,237,153,256,279,428,348,211
2019-01-04 23:00:00,424,188,144,211,285,355,277,172
2019-01-05 00:00:00,293,164,69,99,267,279,182,112
2019-01-05 01:00:00,198,110,53,96,283,192,132,85
2019-01-05 02:00:00,186,160,44,81,330,147,77,61
2019-01-05 03:00:00,127,102,36,34,182,156,136,37
2019-01-05 04:00:00,90,55,16,23,69,83,63,30
2019-01-05 05:00:00,64,33,25,21,48,131,105,39
2019-01-05 06:00:00,163,57,50,41,55,202,169,70
2019-01-05 07:00:00,327,84,97,88,87,364,231,105
2019-01-05 08:00:00,272,84,84,129,99,479,356,161
2019-01-05 09:00:00,461,124,109,230,182,813,644,254
2019-01-05 10:00:00,659,226,145,337,252,1279,832,419
2019-01-05 11:00:00,1043,320,255,465,398,1802,1070,570
2019-01-05 12:00:00,1131,434,322,686,458,2074,1172,696
2019-01-05 13:00:00,1245,512,395,821,602,2273,1249,764
2019-01-05 14:00:00,1412,534,428,814,611,2219,1272,743
2019-01-05 15:00:00,1355,560,381,848,644,2136,1311,722
2019-01-05 16:00:00,1213,519,319,803,573,2077,1378,726
2019-01-05 17:00:00,1111,477,284,666,543,1755,1122,636
2019-01-05 18:00:00,1017,486,260,505,533,1477,966,573
