time,voll_air_temperature,voll_relative_humidity,voll_sum(precipitation_amount PT1H),voll_surface_air_pressure,voll_wind_speed,voll_wind_from_direction,sverreborg_air_temperature,sverreborg_relative_humidity,sverreborg_sum(precipitation_amount PT1H),sverreborg_surface_snow_thickness,gloshaugen_sum(duration_of_sunshine PT1H),lade_relative_humidity,lade_sum(precipitation_amount PT1H),lade_air_temperature
2019-01-01 00:00:00,2.6,84.0,0.0,971.5,3.9,207.0,2.1,89.0,0.1,-1.0,0.0,85.0,0.0,3.0
2019-01-01 01:00:00,2.7,84.0,0.0,970.8,4.7,210.0,2.0,92.0,0.5,-1.0,0.0,84.0,0.4,3.5
2019-01-01 02:00:00,2.2,88.0,0.5,970.1,3.5,192.0,1.3,95.0,1.2,-1.0,0.0,88.0,0.8,2.6
2019-01-01 03:00:00,2.5,84.0,0.3,970.5,3.6,209.0,1.3,93.0,0.9,-1.0,0.0,84.0,0.2,3.3
2019-01-01 04:00:00,1.9,91.0,0.6,970.5,3.5,201.0,1.4,96.0,0.7,-1.0,0.0,90.0,0.3,2.8
2019-01-01 05:00:00,2.1,92.0,1.3,971.1,3.0,194.0,2.6,93.0,2.6,-1.0,0.0,85.0,0.7,3.8
2019-01-01 06:00:00,3.1,87.0,0.1,972.3,3.3,249.0,2.7,91.0,0.5,-1.0,0.0,86.0,0.6,4.4
2019-01-01 07:00:00,3.9,85.0,0.1,974.0,3.5,291.0,3.5,88.0,0.1,-1.0,0.0,86.0,0.4,4.4
2019-01-01 08:00:00,3.8,87.0,0.2,976.0,4.0,312.0,3.4,90.0,0.9,-1.0,0.0,85.0,0.4,4.6
2019-01-01 09:00:00,3.9,78.0,0.3,979.2,5.5,337.0,3.5,82.0,0.5,-1.0,0.0,77.0,0.3,4.9
2019-01-01 10:00:00,3.6,81.0,0.5,981.7,5.6,328.0,3.2,80.0,0.5,-1.0,0.0,79.0,0.6,4.5
2019-01-01 11:00:00,3.6,78.0,0.2,984.6,6.8,327.0,2.7,84.0,0.8,-1.0,0.0,77.0,0.2,4.3
2019-01-01 12:00:00,3.8,77.0,0.1,986.2,4.6,300.0,3.4,79.0,0.1,-1.0,0.0,73.0,0.1,5.1
2019-01-01 13:00:00,3.6,71.0,0.0,987.9,4.8,331.0,2.8,78.0,0.0,-1.0,0.0,65.0,0.0,4.5
2019-01-01 14:00:00,3.6,69.0,0.3,990.7,6.9,350.0,3.6,68.0,0.2,-1.0,0.0,64.0,0.2,4.9
2019-01-01 15:00:00,2.1,74.0,0.5,994.5,6.2,5.0,1.6,81.0,0.1,-1.0,0.0,73.0,0.2,3.2
2019-01-01 16:00:00,1.3,81.0,0.1,998.0,7.0,355.0,1.0,82.0,0.1,-1.0,0.0,80.0,0.0,2.4
2019-01-01 17:00:00,0.0,86.0,0.4,999.8,7.5,355.0,0.5,88.0,0.1,-1.0,0.0,88.0,0.3,1.2
2019-01-01 18:00:00,1.1,75.0,0.2,1001.4,4.8,329.0,1.0,71.0,0.0,-1.0,0.0,71.0,0.0,2.3
2019-01-01 19:00:00,1.1,72.0,0.1,1003.0,4.2,316.0,0.8,73.0,0.0,-1.0,0.0,68.0,0.1,2.1
2019-01-01 20:00:00,1.2,70.0,0.0,1004.5,4.5,337.0,0.6,77.0,0.0,-1.0,0.0,71.0,0.0,2.2
2019-01-01 21:00:00,0.4,76.0,0.2,1006.5,5.3,340.0,-0.6,89.0,0.1,-1.0,0.0,80.0,0.0,1.1
2019-01-01 22:00:00,-0.3,85.0,0.0,1007.4,3.6,8.0,-0.1,82.0,0.0,-1.0,0.0,81.0,0.0,0.9
2019-01-01 23:00:00,-0.2,81.0,0.6,1009.0,3.7,345.0,-0.2,87.0,0.0,-1.0,0.0,76.0,0.5,1.2
2019-01-02 00:00:00,-0.4,78.0,0.0,1009.9,3.2,335.0,-0.2,77.0,0.0,-1.0,0.0,75.0,0.1,0.8
2019-01-02 01:00:00,-0.5,91.0,0.1,1011.4,2.8,315.0,-0.7,87.0,0.0,-1.0,0.0,90.0,0.0,0.4
2019-01-02 02:00:00,-0.9,94.0,0.5,1012.0,2.9,343.0,-0.6,87.0,0.0,-1.0,0.0,93.0,0.6,0.0
2019-01-02 03:00:00,-0.4,95.0,2.1,1012.5,2.0,313.0,-0.8,94.0,0.4,-1.0,0.0,96.0,1.7,0.2
2019-01-02 04:00:00,-1.4,93.0,0.1,1012.6,1.4,299.0,-0.5,85.0,0.0,-1.0,0.0,88.0,0.4,0.2
2019-01-02 05:00:00,-0.6,89.0,0.2,1013.6,3.6,308.0,-0.8,93.0,0.3,3.0,0.0,92.0,0.2,0.3
2019-01-02 06:00:00,-0.9,95.0,1.2,1013.4,2.9,292.0,-0.5,84.0,0.4,4.0,0.0,93.0,0.8,0.2
2019-01-02 07:00:00,-0.2,87.0,0.2,1014.0,4.0,323.0,0.1,81.0,0.0,4.0,0.0,93.0,0.1,0.5
2019-01-02 08:00:00,0.3,76.0,0.0,1014.1,3.7,286.0,0.1,82.0,0.0,3.0,0.0,80.0,0.0,1.0
2019-01-02 09:00:00,-0.1,80.0,0.0,1013.8,2.6,237.0,0.0,85.0,0.0,3.0,0.0,75.0,0.0,1.5
2019-01-02 10:00:00,0.7,84.0,0.2,1013.6,4.8,255.0,0.5,86.0,0.4,4.0,0.0,79.0,0.2,2.0
2019-01-02 11:00:00,0.2,91.0,0.3,1013.3,4.6,242.0,0.5,91.0,0.2,4.0,0.0,90.0,0.3,1.3
2019-01-02 12:00:00,0.6,91.0,0.3,1012.8,5.1,248.0,0.4,95.0,0.5,5.0,0.0,88.0,0.3,1.6
2019-01-02 13:00:00,1.2,91.0,0.7,1012.8,5.9,267.0,0.9,93.0,1.4,5.0,0.0,87.0,0.8,2.4
2019-01-02 14:00:00,2.1,84.0,1.0,1013.1,6.3,278.0,1.6,88.0,0.3,5.0,0.0,87.0,0.4,2.9
2019-01-02 15:00:00,1.1,92.0,0.6,1013.3,2.9,260.0,0.9,94.0,1.1,5.0,0.0,90.0,0.7,2.3
2019-01-02 16:00:00,2.1,87.0,2.3,1012.7,4.8,275.0,1.5,92.0,1.4,5.0,0.0,84.0,1.3,3.3
2019-01-02 17:00:00,1.8,91.0,0.2,1012.7,2.6,249.0,1.6,94.0,0.9,5.0,0.0,89.0,0.7,2.9
2019-01-02 18:00:00,2.1,92.0,0.3,1012.6,4.0,235.0,1.9,94.0,1.1,5.0,0.0,86.0,0.8,3.5
2019-01-02 19:00:00,1.9,91.0,0.6,1013.0,2.9,236.0,2.4,93.0,2.0,4.0,0.0,89.0,0.6,3.7
2019-01-02 20:00:00,2.1,93.0,0.0,1013.3,3.2,205.0,2.4,92.0,1.6,4.0,0.0,89.0,0.0,4.2
2019-01-02 21:00:00,2.4,92.0,0.1,1013.3,1.9,226.0,2.9,92.0,0.6,4.0,0.0,89.0,0.7,4.1
2019-01-02 22:00:00,2.6,91.0,0.4,1013.3,2.5,166.0,2.9,92.0,1.9,4.0,0.0,88.0,0.2,4.0
2019-01-02 23:00:00,2.7,93.0,0.7,1013.5,2.0,195.0,2.8,96.0,0.6,3.0,0.0,94.0,0.3,3.5
2019-01-03 00:00:00,3.4,89.0,0.0,1013.2,3.1,196.0,3.1,93.0,0.0,3.0,0.0,91.0,0.1,3.8
2019-01-03 01:00:00,3.1,94.0,0.0,1013.3,2.4,194.0,2.2,97.0,0.1,3.0,0.0,95.0,0.0,3.7
2019-01-03 02:00:00,3.0,95.0,0.1,1013.2,2.4,199.0,3.8,97.0,0.2,3.0,0.0,93.0,0.1,4.0
2019-01-03 03:00:00,3.3,95.0,0.0,1013.4,3.7,180.0,4.2,94.0,0.0,3.0,0.0,91.0,0.0,4.0
2019-01-03 04:00:00,3.1,95.0,0.2,1013.0,3.0,204.0,3.9,96.0,0.8,2.0,0.0,93.0,0.3,4.0
2019-01-03 05:00:00,3.2,96.0,0.6,1013.3,2.7,207.0,3.9,98.0,1.1,2.0,0.0,93.0,0.3,4.5
2019-01-03 06:00:00,3.6,93.0,0.1,1012.8,2.9,201.0,3.1,97.0,0.2,-1.0,0.0,92.0,0.1,4.3
2019-01-03 07:00:00,3.3,95.0,0.2,1012.3,3.6,217.0,3.0,98.0,0.4,-1.0,0.0,93.0,0.0,4.4
2019-01-03 08:00:00,3.5,96.0,0.8,1012.4,3.8,213.0,4.7,97.0,1.0,-1.0,0.0,92.0,0.6,4.6
2019-01-03 09:00:00,4.4,95.0,0.6,1012.2,3.5,200.0,5.2,94.0,1.3,-1.0,0.0,89.0,0.6,6.6
2019-01-03 10:00:00,5.3,91.0,0.7,1012.3,5.9,240.0,5.2,91.0,1.8,-1.0,0.0,86.0,0.7,6.6
2019-01-03 11:00:00,4.8,91.0,0.4,1011.8,5.5,235.0,4.7,94.0,1.1,-1.0,0.0,84.0,0.9,6.7
2019-01-03 12:00:00,4.7,91.0,0.4,1011.7,4.3,223.0,4.7,94.0,0.5,-1.0,0.0,85.0,0.8,6.6
2019-01-03 13:00:00,4.6,94.0,0.7,1011.3,3.7,217.0,5.1,92.0,0.9,-1.0,0.0,87.0,1.0,6.6
2019-01-03 14:00:00,4.9,93.0,0.3,1011.4,4.2,229.0,5.1,91.0,0.7,-1.0,0.0,85.0,0.4,6.7
2019-01-03 15:00:00,5.1,91.0,0.6,1011.1,4.7,240.0,4.9,92.0,0.9,-1.0,0.0,88.0,0.9,6.4
2019-01-03 16:00:00,5.4,88.0,0.1,1010.6,6.3,244.0,5.0,92.0,0.2,-1.0,0.0,86.0,0.3,6.4
2019-01-03 17:00:00,5.5,86.0,0.4,1010.4,6.9,251.0,5.0,91.0,0.8,-1.0,0.0,87.0,0.6,6.3
